PROPERTIES FOR OBJECT unknown_MetaWindowX11:

property                           object                   type        
------------------------------------------------------------------------
constructor                        unknown_MetaWindowX11    function    
title                              unknown_MetaWindowX11    function    
window_type                        unknown_MetaWindowX11    function    
above                              Meta_Window              function    
activate                           Meta_Window              function    
activate_with_workspace            Meta_Window              function    
allows_move                        Meta_Window              function    
allows_resize                      Meta_Window              function    
appears_focused                    Meta_Window              function    
begin_grab_op                      Meta_Window              function    
can_close                          Meta_Window              function    
can_maximize                       Meta_Window              function    
can_minimize                       Meta_Window              function    
can_shade                          Meta_Window              function    
change_workspace                   Meta_Window              function    
change_workspace_by_index          Meta_Window              function    
check_alive                        Meta_Window              function    
client_rect_to_frame_rect          Meta_Window              function    
compute_group                      Meta_Window              function    
constructor                        Meta_Window              function    
decorated                          Meta_Window              function    
delete                             Meta_Window              function    
demands_attention                  Meta_Window              function    
find_root_ancestor                 Meta_Window              function    
focus                              Meta_Window              function    
foreach_ancestor                   Meta_Window              function    
foreach_transient                  Meta_Window              function    
frame_rect_to_client_rect          Meta_Window              function    
fullscreen                         Meta_Window              function    
get_buffer_rect                    Meta_Window              function    
get_client_machine                 Meta_Window              function    
get_client_type                    Meta_Window              function    
get_compositor_private             Meta_Window              function    
get_description                    Meta_Window              function    
get_display                        Meta_Window              function    
get_frame_bounds                   Meta_Window              function    
get_frame_rect                     Meta_Window              function    
get_frame_type                     Meta_Window              function    
get_gtk_app_menu_object_path       Meta_Window              function    
get_gtk_application_id             Meta_Window              function    
get_gtk_application_object_path    Meta_Window              function    
get_gtk_menubar_object_path        Meta_Window              function    
get_gtk_theme_variant              Meta_Window              function    
get_gtk_unique_bus_name            Meta_Window              function    
get_gtk_window_object_path         Meta_Window              function    
get_icon_geometry                  Meta_Window              function    
get_id                             Meta_Window              function    
get_layer                          Meta_Window              function    
get_maximized                      Meta_Window              function    
get_monitor                        Meta_Window              function    
get_mutter_hints                   Meta_Window              function    
get_pid                            Meta_Window              function    
get_role                           Meta_Window              function    
get_sandboxed_app_id               Meta_Window              function    
get_stable_sequence                Meta_Window              function    
get_startup_id                     Meta_Window              function    
get_tile_match                     Meta_Window              function    
get_title                          Meta_Window              function    
get_transient_for                  Meta_Window              function    
get_user_time                      Meta_Window              function    
get_window_type                    Meta_Window              function    
get_wm_class                       Meta_Window              function    
get_wm_class_instance              Meta_Window              function    
get_work_area_all_monitors         Meta_Window              function    
get_work_area_current_monitor      Meta_Window              function    
get_work_area_for_monitor          Meta_Window              function    
get_workspace                      Meta_Window              function    
group_leader_changed               Meta_Window              function    
gtk_app_menu_object_path           Meta_Window              function    
gtk_application_id                 Meta_Window              function    
gtk_application_object_path        Meta_Window              function    
gtk_menubar_object_path            Meta_Window              function    
gtk_unique_bus_name                Meta_Window              function    
gtk_window_object_path             Meta_Window              function    
has_focus                          Meta_Window              function    
icon                               Meta_Window              function    
is_above                           Meta_Window              function    
is_always_on_all_workspaces        Meta_Window              function    
is_ancestor_of_transient           Meta_Window              function    
