PROPERTIES FOR OBJECT Shell_Global:

property                     object            type        
-----------------------------------------------------------
log                          Shell_Global      function    
logError                     Shell_Global      function    
backend                      Shell_Global      function    
begin_modal                  Shell_Global      function    
begin_work                   Shell_Global      function    
constructor                  Shell_Global      function    
create_app_launch_context    Shell_Global      function    
datadir                      Shell_Global      function    
display                      Shell_Global      function    
end_modal                    Shell_Global      function    
end_work                     Shell_Global      function    
focus_manager                Shell_Global      function    
frame_finish_timestamp       Shell_Global      function    
frame_timestamps             Shell_Global      function    
get_current_time             Shell_Global      function    
get_display                  Shell_Global      function    
get_persistent_state         Shell_Global      function    
get_pointer                  Shell_Global      function    
get_runtime_state            Shell_Global      function    
get_session_mode             Shell_Global      function    
get_settings                 Shell_Global      function    
get_stage                    Shell_Global      function    
get_switcheroo_control       Shell_Global      function    
get_window_actors            Shell_Global      function    
imagedir                     Shell_Global      function    
notify_error                 Shell_Global      function    
reexec_self                  Shell_Global      function    
run_at_leisure               Shell_Global      function    
screen_height                Shell_Global      function    
screen_width                 Shell_Global      function    
session_mode                 Shell_Global      function    
set_persistent_state         Shell_Global      function    
set_runtime_state            Shell_Global      function    
set_stage_input_region       Shell_Global      function    
settings                     Shell_Global      function    
stage                        Shell_Global      function    
switcheroo_control           Shell_Global      function    
sync_pointer                 Shell_Global      function    
top_window_group             Shell_Global      function    
userdatadir                  Shell_Global      function    
window_group                 Shell_Global      function    
window_manager               Shell_Global      function    
workspace_manager            Shell_Global      function    
__metaclass__                GObject_Object    function    
_construct                   GObject_Object    function    
_init                        GObject_Object    function    
bind_property                GObject_Object    function    
bind_property_full           GObject_Object    function    
block_signal_handler         GObject_Object    function    
connect                      GObject_Object    function    
connect_after                GObject_Object    function    
constructor                  GObject_Object    function    
disconnect                   GObject_Object    function    
emit                         GObject_Object    function    
force_floating               GObject_Object    function    
freeze_notify                GObject_Object    function    
get_data                     GObject_Object    function    
get_property                 GObject_Object    function    
get_qdata                    GObject_Object    function    
getv                         GObject_Object    function    
is_floating                  GObject_Object    function    
notify                       GObject_Object    function    
notify_by_pspec              GObject_Object    function    
ref                          GObject_Object    function    
ref_sink                     GObject_Object    function    
run_dispose                  GObject_Object    function    
set                          GObject_Object    function    
set_data                     GObject_Object    function    
set_property                 GObject_Object    function    
steal_data                   GObject_Object    function    
steal_qdata                  GObject_Object    function    
stop_emission_by_name        GObject_Object    function    
thaw_notify                  GObject_Object    function    
toString                     GObject_Object    function    
unblock_signal_handler       GObject_Object    function    
unref                        GObject_Object    function    
watch_closure                GObject_Object    function    
__defineGetter__             Object            function    
__defineSetter__             Object            function    
__lookupGetter__             Object            function    
__lookupSetter__             Object            function    
__proto__                    Object            object      
constructor                  Object            function    
hasOwnProperty               Object            function    
isPrototypeOf                Object            function    
propertyIsEnumerable         Object            function    
toLocaleString               Object            function    
toString                     Object            function    
valueOf                      Object            function    
***************************************************************
